c_city_id,c_city_name,c_city_code,c_city_iso,c_city_stat,c_city_id_src,c_create_time,c_update_time
1,Unknown,Unknown,Unknown,Unknown,Unknown,2021-12-01 10:43:24.680,2021-12-01 10:43:24.680
2,Архангай,65000,MN,AR,5f6b170b8ce02f593cfbc4fb,2021-12-01 10:49:56.250,2021-12-01 10:52:11.587
3,Баян-Өлгий,83000,MN,BA,5f6b170b8ce02f593cfbc4ff,2021-12-01 10:49:56.250,2021-12-01 10:54:45.497
4,Баянхонгор,64000,MN,BH,5f6b170b8ce02f593cfbc4fa,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
5,Булган,63000,MN,BU,5f6b170b8ce02f593cfbc4f9,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
6,Өвөрхангай,62000,MN,UH,5f6b170b8ce02f593cfbc4f8,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
7,Говь-Алтай,82000,MN,GA,5f6b170b8ce02f593cfbc4fe,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
8,Говьсүмбэр,42000,MN,GS,5f6b170b8ce02f593cfbc4f1,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
9,Дархан-Уул,45000,MN,DU,5f6b170b8ce02f593cfbc4f4,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
10,Дорноговь,44000,MN,DG,5f6b170b8ce02f593cfbc4f3,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
11,Дорнод,21000,MN,DN,5f6b170b8ce02f593cfbc4ed,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
12,Дундговь,48000,MN,DV,5f6b170b8ce02f593cfbc4f6,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
13,Завхан,81000,MN,ZA,5f6b170b8ce02f593cfbc4fd,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
14,Өмнөговь,46000,MN,UG,5f6b170b8ce02f593cfbc4f5,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
15,Орхон,61000,MN,OR,5f6b170b8ce02f593cfbc4f7,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
16,Сүхбаатар,22000,MN,SB,5f6b170b8ce02f593cfbc4ee,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
17,Сэлэнгэ,43000,MN,SL,5f6b170b8ce02f593cfbc4f2,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
18,Төв,41000,MN,TU,5f6b170b8ce02f593cfbc4f0,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
19,Увс,85000,MN,UV,5f6b170b8ce02f593cfbc501,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
20,Улаанбаатар,10000,MN,UB,5f6b170b8ce02f593cfbc4ec,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
21,Хөвсгөл,67000,MN,HU,5f6b170b8ce02f593cfbc4fc,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
22,Ховд,84000,MN,HO,5f6b170b8ce02f593cfbc500,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
23,Хэнтий,23000,MN,HT,5f6b170b8ce02f593cfbc4ef,2021-12-01 10:49:56.250,2021-12-01 10:49:56.250
