c_district_id,c_district_name,c_district_code,c_city_id,c_district_id_src,c_create_time,c_update_time
1,Unknown,Unknown,1,Unknown,2021-12-01 11:17:24.993,2021-12-01 11:17:24.993
2,Батцэнгэл,65100,2,5f6b198d8ce02f593cfbc5d7,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
3,Булган,65120,2,5f6b198d8ce02f593cfbc5d8,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
4,Өгийнуур,65020,2,5f6b198d8ce02f593cfbc5d1,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
5,Жаргалант,65200,2,5f6b198d8ce02f593cfbc5dd,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
6,Их тамир,65170,2,5f6b198d8ce02f593cfbc5db,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
7,Өлзийт,65030,2,5f6b198d8ce02f593cfbc5d2,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
8,Өндөр-Улаан,65210,2,5f6b198d8ce02f593cfbc5de,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
9,Тариат,65230,2,5f6b198d8ce02f593cfbc5e0,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
10,Төвшрүүлэх,65070,2,5f6b198d8ce02f593cfbc5d5,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
11,Хайрхан,65060,2,5f6b198d8ce02f593cfbc5d4,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
12,Хангай,65250,2,5f6b198d8ce02f593cfbc5e1,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
13,Хашаат,65010,2,5f6b198d8ce02f593cfbc5d0,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
14,Хотонт,65040,2,5f6b198d8ce02f593cfbc5d3,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
15,Цахир,65270,2,5f6b198d8ce02f593cfbc5e2,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
16,Цэнхэр,65080,2,5f6b198d8ce02f593cfbc5d6,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
17,Цэцэрлэг,65190,2,5f6b198d8ce02f593cfbc5dc,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
18,Чулуут,65220,2,5f6b198d8ce02f593cfbc5df,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
19,Эрдэнэбулган,65130,2,5f6b198d8ce02f593cfbc5d9,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
20,Эрдэнэмандал,65150,2,5f6b198d8ce02f593cfbc5da,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
21,Алтай,83150,3,5f6b198d8ce02f593cfbc62d,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
22,Алтанцөгц,83040,3,5f6b198d8ce02f593cfbc626,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
23,Баяннуур,83030,3,5f6b198d8ce02f593cfbc625,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
24,Бугат,83050,3,5f6b198d8ce02f593cfbc627,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
25,Булган,83010,3,5f6b198d8ce02f593cfbc624,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
26,Буянт,83140,3,5f6b198d8ce02f593cfbc62c,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
27,Дэлүүн,83060,3,5f6b198d8ce02f593cfbc628,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
28,Өлгий,83120,3,5f6b198d8ce02f593cfbc62b,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
29,Ногооннуур,83100,3,5f6b198d8ce02f593cfbc62a,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
30,Сагсай,83160,3,5f6b198d8ce02f593cfbc62e,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
31,Толбо,83080,3,5f6b198d8ce02f593cfbc629,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
32,Улаанхус,83170,3,5f6b198d8ce02f593cfbc62f,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
33,Цагааннуур,83113,3,5f6b198d8ce02f593cfbc5029,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
34,Цэнгэл,83190,3,5f6b198d8ce02f593cfbc630,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
35,Баацагаан,64150,4,5f6b198d8ce02f593cfbc5c5,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
36,Баянбулаг,64260,4,5f6b198d8ce02f593cfbc5cf,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
37,Баянговь,64130,4,5f6b198d8ce02f593cfbc5c4,2021-12-01 11:42:52.597,2021-12-01 11:42:52.597
