c_quarter_id,c_quarter_name,c_quarter_code,c_quarter_order,c_quarter_id_src,c_city_id,c_district_id,c_create_time,c_update_time
1,Unknown,Unknown,Unknown,Unknown,1,1,2022-01-21 17:39:27.430,2022-01-21 17:39:27.430
2,1,12901,1,5f6b1a498ce02f593cfbc65d,20,286,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
3,1,13901,1,5f6b1a498ce02f593cfbc666,20,285,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
4,1,14901,1,5f6b1a498ce02f593cfbc682,20,288,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
5,1,15901,1,5f6b1a498ce02f593cfbc696,20,290,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
6,1,16901,1,5f6b1a498ce02f593cfbc6a9,20,284,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
7,1,17901,1,5f6b1a498ce02f593cfbc6c0,20,289,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
8,1,18901,1,5f6b1a498ce02f593cfbc6d0,20,287,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
9,1,19901,1,5f6b1a498ce02f593cfbc6f1,20,282,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
10,1,11901,1,5f6b1a498ce02f593cfbc65b,20,283,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
11,10,17910,10,5f6b1a498ce02f593cfbc6c9,20,289,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
12,10,18910,10,5f6b1a498ce02f593cfbc6d9,20,287,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
13,10,16910,10,5f6b1a498ce02f593cfbc6b2,20,284,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
14,10,15910,10,5f6b1a498ce02f593cfbc69f,20,290,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
15,10,14910,10,5f6b1a498ce02f593cfbc68b,20,288,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
16,10,13910,10,5f6b1a498ce02f593cfbc66f,20,285,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
17,10-р баг,21071,31,5f6b1a498ce02f593cfbc710,11,143,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
18,10-р баг,45057,31,5f6b1a498ce02f593cfbc8c8,9,113,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
19,10-р баг,67139,31,5f6b1a498ce02f593cfbcb27,21,298,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
20,10-р баг,85079,31,5f6b1a498ce02f593cfbcd0d,19,277,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
21,10-р баг,85179,31,5f6b1a498ce02f593cfbcd34,19,278,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
22,10-р баг Хужирт,85277,31,5f6b1a498ce02f593cfbcd5d,3,32,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
23,"10-р баг Наран",61047,31,5f6b1a498ce02f593cfbc963,15,201,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
24,"10-р баг Ноён",62178,31,5f6b1a498ce02f593cfbc9b0,6,72,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
25,"10-р баг Оргил",82090,31,5f6b1a498ce02f593cfbcbfe,7,98,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
26,"10-р баг Рашаант",64107,31,5f6b1a498ce02f593cfbca4c,4,41,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
27,"10-р баг Тахилт",84145,31,5f6b1a498ce02f593cfbccca,22,321,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
28,"10-р баг Харасай",83138,31,5f6b1a498ce02f593cfbcc6c,3,28,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
29,"10-р баг Хүйтэн нуур",83067,31,5f6b1a498ce02f593cfbcc51,3,27,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
30,11,13911,11,5f6b1a498ce02f593cfbc670,20,285,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
31,11,14911,11,5f6b1a498ce02f593cfbc68c,20,288,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
32,11,15911,11,5f6b1a498ce02f593cfbc6a0,20,290,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
33,11,16911,11,5f6b1a498ce02f593cfbc6b3,20,284,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
34,11,18911,11,5f6b1a498ce02f593cfbc6da,20,287,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
35,11,17911,11,5f6b1a498ce02f593cfbc6ca,20,289,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
36,11-р баг,45055,31,5f6b1a498ce02f593cfbc8c7,9,113,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
37,11-р баг,85062,31,5f6b1a498ce02f593cfbcd05,19,277,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
38,11-р баг,67122,31,5f6b1a498ce02f593cfbcb1e,21,298,2022-01-21 17:39:32.827,2022-01-21 17:39:32.827
